 -3.96	0
 -3.88	0
 -3.8	0
 -3.72	0
 -3.64	0
 -3.56	0
 -3.48	0
 -3.4	2e-007
 -3.32	1e-007
 -3.24	6e-007
 -3.16	2.9e-006
 -3.08	2.6e-006
 -3	4.5e-006
 -2.92	8.7e-006
 -2.84	1e-005
 -2.76	1.67e-005
 -2.68	2.48e-005
 -2.6	4.24e-005
 -2.52	6.42e-005
 -2.44	9.59e-005
 -2.36	0.0001486
 -2.28	0.0002068
 -2.2	0.0002914
 -2.12	0.0004049
 -2.04	0.0005955
 -1.96	0.0008333
 -1.88	0.0011422
 -1.8	0.0015279
 -1.72	0.0020829
 -1.64	0.0027779
 -1.56	0.0035023
 -1.48	0.0044162
 -1.4	0.0056749
 -1.32	0.0071294
 -1.24	0.0086839
 -1.16	0.0107555
 -1.08	0.0129183
 -1	0.0153178
 -0.92	0.0180302
 -0.84	0.0206342
 -0.76	0.0236097
 -0.68	0.0267358
 -0.6	0.0298792
 -0.52	0.0327943
 -0.44	0.0358097
 -0.36	0.0381506
 -0.28	0.0406298
 -0.2	0.0425065
 -0.12	0.043994
 -0.04	0.0443417
 0.04	0.0447564
 0.12	0.045067
 0.2	0.0438974
 0.28	0.04263
 0.36	0.0406911
 0.44	0.0386425
 0.52	0.0359036
 0.6	0.0332589
 0.68	0.0303099
 0.76	0.0271147
 0.84	0.0240355
 0.92	0.0211144
 1	0.0181214
 1.08	0.0154149
 1.16	0.0129634
 1.24	0.0108228
 1.32	0.00884
 1.4	0.0071413
 1.48	0.005773
 1.56	0.0044682
 1.64	0.0035245
 1.72	0.0026882
 1.8	0.0020703
 1.88	0.0015185
 1.96	0.0011093
 2.04	0.000745
 2.12	0.0005382
 2.2	0.0003492
 2.28	0.0002579
 2.36	0.0001594
 2.44	9.47e-005
 2.52	6.79e-005
 2.6	4.5e-005
 2.68	2.52e-005
 2.76	1.65e-005
 2.84	7.2e-006
 2.92	7.8e-006
 3	5.1e-006
 3.08	1.7e-006
 3.16	1.5e-006
 3.24	1.5e-006
 3.32	0
 3.4	0
 3.48	0
 3.56	0
 3.64	0
 3.72	0
 3.8	0
 3.88	0
 3.96	0
