 -3.96	0
 -3.88	0
 -3.8	2e-007
 -3.72	0
 -3.64	0
 -3.56	0
 -3.48	0
 -3.4	4e-007
 -3.32	4e-007
 -3.24	7e-007
 -3.16	1.2e-006
 -3.08	1.9e-006
 -3	4.1e-006
 -2.92	7.9e-006
 -2.84	1.27e-005
 -2.76	1.96e-005
 -2.68	2.78e-005
 -2.6	4.45e-005
 -2.52	6.85e-005
 -2.44	0.0001078
 -2.36	0.0001569
 -2.28	0.0002364
 -2.2	0.0003385
 -2.12	0.000496
 -2.04	0.0006649
 -1.96	0.0009387
 -1.88	0.0013074
 -1.8	0.0017109
 -1.72	0.0023115
 -1.64	0.0029796
 -1.56	0.0039553
 -1.48	0.0049597
 -1.4	0.0063041
 -1.32	0.0077823
 -1.24	0.0096279
 -1.16	0.0117557
 -1.08	0.0139467
 -1	0.0164654
 -0.92	0.0194551
 -0.84	0.0222364
 -0.76	0.0253413
 -0.68	0.0285149
 -0.6	0.0317349
 -0.52	0.0345479
 -0.44	0.0375522
 -0.36	0.0401077
 -0.28	0.0423517
 -0.2	0.0439121
 -0.12	0.0449179
 -0.04	0.0455287
 0.04	0.0454211
 0.12	0.0449385
 0.2	0.0438224
 0.28	0.0422176
 0.36	0.0399464
 0.44	0.0372895
 0.52	0.0345909
 0.6	0.0315072
 0.68	0.0282519
 0.76	0.0252369
 0.84	0.0221087
 0.92	0.0190857
 1	0.0162644
 1.08	0.0137226
 1.16	0.0113629
 1.24	0.0093436
 1.32	0.007425
 1.4	0.0060281
 1.48	0.0047527
 1.56	0.0036391
 1.64	0.0028374
 1.72	0.0021456
 1.8	0.0016048
 1.88	0.0011994
 1.96	0.0008593
 2.04	0.0005988
 2.12	0.0004388
 2.2	0.0003139
 2.28	0.0002047
 2.36	0.0001476
 2.44	9.49e-005
 2.52	5.9e-005
 2.6	4.16e-005
 2.68	2.22e-005
 2.76	1.86e-005
 2.84	8.4e-006
 2.92	5.1e-006
 3	3.3e-006
 3.08	1.9e-006
 3.16	1.7e-006
 3.24	7e-007
 3.32	6e-007
 3.4	1e-007
 3.48	0
 3.56	0
 3.64	0
 3.72	0
 3.8	0
 3.88	0
 3.96	0
